                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.77793,                0.36163,                0.78067,                0.89133,                  0.751,                0.78997,                0.55384,                0.82518,                 0.3956,                0.79605,             0.00081275,             0.00081275,             0.00081275
                     55,                 0.7532,                0.35146,                0.78115,                0.86752,                0.73713,                0.80457,                0.53848,                0.81384,                0.39023,                0.79795,              0.0008045,              0.0008045,              0.0008045
                     56,                0.75205,                0.35553,                 0.7796,                0.88717,                0.74356,                0.79823,                0.56845,                0.79482,                0.38726,                0.79576,             0.00079625,             0.00079625,             0.00079625
                     57,                0.78336,                0.36822,                0.77958,                0.85257,                0.75761,                0.79695,                0.55542,                0.82605,                0.39155,                0.79847,               0.000788,               0.000788,               0.000788
                     58,                0.74308,                0.35153,                0.78036,                0.85945,                0.73973,                  0.811,                0.57321,                0.80119,                0.38217,                0.79506,             0.00077975,             0.00077975,             0.00077975
                     59,                0.73438,                0.35009,                 0.7804,                0.86925,                 0.7484,                0.79755,                0.55997,                0.79374,                0.38294,                0.79493,              0.0007715,              0.0007715,              0.0007715
                     60,                 0.7612,                0.36474,                0.77933,                0.87882,                0.73277,                0.81404,                0.56518,                0.77671,                 0.3805,                0.79454,             0.00076325,             0.00076325,             0.00076325
                     61,                0.75936,                0.35651,                0.78067,                0.91886,                0.73695,                0.81082,                0.55985,                0.78581,                0.38129,                0.79481,               0.000755,               0.000755,               0.000755
                     62,                0.77462,                0.36292,                0.78317,                0.85579,                0.75847,                 0.7985,                0.56365,                0.83757,                0.39548,                0.79875,             0.00074675,             0.00074675,             0.00074675
                     63,                0.75644,                0.35646,                0.77992,                0.86656,                0.75659,                0.81414,                 0.5614,                0.80257,                0.37593,                0.79588,              0.0007385,              0.0007385,              0.0007385
                     64,                0.74414,                0.34444,                0.77957,                0.88476,                0.76481,                0.81793,                0.58472,                0.77128,                0.36758,                0.79487,             0.00073025,             0.00073025,             0.00073025
                     65,                0.70787,                 0.3335,                0.77728,                 0.9399,                 0.7532,                0.82993,                0.56176,                0.80515,                0.38767,                0.79681,               0.000722,               0.000722,               0.000722
                     66,                0.73712,                0.34731,                0.77851,                0.87549,                0.74635,                0.81964,                0.57237,                0.80211,                0.37321,                0.79483,             0.00071375,             0.00071375,             0.00071375
                     67,                0.71077,                0.33992,                0.77812,                0.84867,                0.75255,                0.79666,                0.56643,                0.79075,                0.37742,                0.79471,              0.0007055,              0.0007055,              0.0007055
                     68,                0.73104,                0.34547,                0.77686,                0.88152,                0.69678,                0.79776,                 0.5538,                0.80536,                 0.3931,                0.79533,             0.00069725,             0.00069725,             0.00069725
                     69,                0.72031,                0.34158,                0.77823,                0.92097,                0.74425,                0.81132,                0.58408,                0.77482,                0.37223,                 0.7936,               0.000689,               0.000689,               0.000689
                     70,                0.72645,                0.33964,                0.77915,                 0.9035,                0.75625,                0.82642,                0.57775,                0.80839,                0.38338,                0.79559,             0.00068075,             0.00068075,             0.00068075
                     71,                0.71472,                0.33278,                0.77814,                 0.9506,                0.72954,                0.81144,                0.57681,                0.77967,                0.37682,                 0.7949,              0.0006725,              0.0006725,              0.0006725
